unix_time,counts,counts_err,count_rates,count_rates_err
1670785511.00000,1112.00000,33.34666,26732.64555,801.65877
1670785523.00984,1155.00000,33.98529,29348.77007,863.57272
1670785535.01967,1116.00000,33.40659,27462.55576,822.07010
1670785547.02951,1166.00000,34.14674,28913.56263,846.74440
1670785559.03934,1156.00000,34.00000,28881.54942,849.45734
1670785571.04918,1182.00000,34.38023,28334.62224,824.15460
1670785583.05902,903.00000,30.04996,22200.63956,738.79102
1670785595.06885,1003.00000,31.67018,24433.88905,771.51101
1670785607.07869,1156.00000,34.00000,28570.69882,840.31467
1670785619.08853,1140.00000,33.76389,28573.71216,846.28032
1670785631.09836,1111.00000,33.33167,26683.16135,800.53487
1670785643.10820,1128.00000,33.58571,27128.59230,807.74208
1670785655.11803,1176.00000,34.29286,27941.30933,814.78513
1670785667.12787,1035.00000,32.17142,25254.06901,784.98469
1670785679.13771,1104.00000,33.22650,26328.55675,792.39644
1670785691.14754,1154.00000,33.97058,28542.98255,840.22664
1670785703.15738,1096.00000,33.10589,26592.60726,803.25908
1670785715.16721,1053.00000,32.44996,25290.93092,779.38246
1670785727.17705,1092.00000,33.04542,26438.87133,800.07664
1670785739.18689,1121.00000,33.48134,26976.63491,805.72153
1670785751.19672,1119.00000,33.45146,26843.69256,802.46706
1670785763.20656,1097.00000,33.12099,26286.50067,793.65081
1670785775.21639,1153.00000,33.95585,27013.63961,795.55177
1670785787.22623,1085.00000,32.93934,26222.75431,796.09232
1670785799.23607,1098.00000,33.13608,26606.25101,802.93893
1670785811.24590,1102.00000,33.19639,26057.46006,784.94872
1670785823.25574,1083.00000,32.90897,26126.19154,793.89283
1670785835.26557,1135.00000,33.68976,27466.28911,815.27112
1670785847.27541,1115.00000,33.39162,26735.03269,800.65107
1670785859.28525,1068.00000,32.68027,24622.00566,753.42114
1670785871.29508,1061.00000,32.57299,25135.20298,771.65772
1670785883.30492,1136.00000,33.70460,26411.46986,783.61620
1670785895.31475,1131.00000,33.63034,26952.08365,801.42160
1670785907.32459,1068.00000,32.68027,25083.24875,767.53495
1670785919.33443,1064.00000,32.61901,25284.70392,775.15233
1670785931.34426,1101.00000,33.18132,26252.60083,791.18615
1670785943.35410,1102.00000,33.19639,25967.75211,782.24638
1670785955.36393,1136.00000,33.70460,26261.35143,779.16225
1670785967.37377,1129.00000,33.60060,26439.80390,786.88499
1670785979.38361,1135.00000,33.68976,26686.52377,792.12565
1670785991.39344,1150.00000,33.91165,26736.68489,788.42182
1670786003.40328,1155.00000,33.98529,27454.27819,807.82825
1670786015.41312,1131.00000,33.63034,26431.45932,785.94081
1670786027.42295,1113.00000,33.36165,25819.79447,773.93627
1670786039.43279,1073.00000,32.75668,25014.87073,763.65711
1670786051.44262,1097.00000,33.12099,25831.87000,779.92445
1670786063.45246,1107.00000,33.27161,26204.24161,787.58563
1670786075.46230,1146.00000,33.85262,27468.86058,811.42491
1670786087.47213,1085.00000,32.93934,25560.97645,776.00152
1670786099.48197,1090.00000,33.01515,24609.62288,745.40398
1670786111.49180,1169.00000,34.19064,26952.93524,788.31322
1670786123.50164,1176.00000,34.29286,27083.23951,789.76330
1670786135.51148,1155.00000,33.98529,26310.46297,774.17207
1670786147.52131,1149.00000,33.89690,26067.68317,769.02847
1670786159.53115,1201.00000,34.65545,28386.48265,819.10595
1670786171.54098,1172.00000,34.23449,26783.02677,782.34057
1670786183.55082,1099.00000,33.15117,25077.58514,756.46157
1670786195.56066,1137.00000,33.71943,26217.49559,777.51893
1670786207.57049,1122.00000,33.49627,26097.29959,779.11065
1670786219.58033,1115.00000,33.39162,26170.67715,783.74995
1670786231.59016,1164.00000,34.11744,26993.11299,791.18215
1670786243.60000,1146.00000,33.85262,25870.00098,764.19490
1670786255.60984,1164.00000,34.11744,26824.87959,786.25115
1670786267.61967,1156.00000,34.00000,27439.76090,807.05179
1670786279.62951,1218.00000,34.89986,28459.13360,815.45130
1670786291.63934,1207.00000,34.74191,28317.27305,815.07541
1670786303.64918,1173.00000,34.24909,27101.86618,791.31644
1670786315.65902,1129.00000,33.60060,26755.10652,796.26883
1670786327.66885,1156.00000,34.00000,26212.22859,770.94790
1670786339.67869,1142.00000,33.79349,26340.88361,779.46620
1670786351.68852,1179.00000,34.33657,27853.35051,811.18618
1670786363.69836,1174.00000,34.26368,26968.21723,787.07875
1670786375.70820,1151.00000,33.92639,27717.56968,816.99140
1670786387.71803,1212.00000,34.81379,28105.50187,807.30945
1670786399.72787,1156.00000,34.00000,27125.11862,797.79761
1670786411.73770,1209.00000,34.77068,28038.87919,806.39439
1670786423.74754,1238.00000,35.18522,29121.31803,827.65760
1670786435.75738,1210.00000,34.78505,28885.14682,830.38959
1670786447.76721,1151.00000,33.92639,27086.19555,798.38128
1670786459.77705,1215.00000,34.85685,29437.86328,844.53596
1670786471.78689,1211.00000,34.79943,29000.98798,833.37549
1670786483.79672,1188.00000,34.46738,27891.73254,809.22124
1670786495.80656,1204.00000,34.69870,27742.51236,799.52591
1670786507.81639,1215.00000,34.85685,28001.17827,803.31924
1670786519.82623,1271.00000,35.65109,30058.66203,843.13452
1670786531.83607,1187.00000,34.45287,27477.83736,797.54866
1670786543.84590,1213.00000,34.82815,28276.78003,811.89441
1670786555.85574,1248.00000,35.32704,29829.50824,844.38168
1670786567.86557,1134.00000,33.67492,27018.04319,802.31953
1670786579.87541,1188.00000,34.46738,28479.26690,826.26734
1670786591.88525,1233.00000,35.11410,28934.78373,824.02180
1670786603.89508,1240.00000,35.21363,29348.05537,833.42877
1670786615.90492,1173.00000,34.24909,26984.33702,787.88484
1670786627.91475,1184.00000,34.40930,28290.15377,822.16589
1670786639.92459,1235.00000,35.14257,29875.12848,850.11231
1670786651.93443,1193.00000,34.53983,27792.12000,804.63970
1670786663.94426,1235.00000,35.14257,29582.26685,841.77878
1670786675.95410,1168.00000,34.17601,28243.97332,826.42676
1670786687.96393,1210.00000,34.78505,27894.49580,801.91037
1670786699.97377,1184.00000,34.40930,27987.09433,813.35841
1670786711.98361,1256.00000,35.44009,29568.43650,834.32170
1670786723.99344,1217.00000,34.88553,28988.88508,830.97168
1670786736.00328,1194.00000,34.55431,27988.66267,809.99061
1670786748.01311,1238.00000,35.18522,29122.34836,827.68688
1670786760.02295,1120.00000,33.46640,26396.01000,788.73166
1670786772.03279,1160.00000,34.05877,27172.41376,797.80954
1670786784.04262,1194.00000,34.55431,27637.24752,799.82067
1670786796.05246,1180.00000,34.35113,27676.47042,805.69320
1670786808.06229,1229.00000,35.05710,28564.06073,814.78684
1670786820.07213,1189.00000,34.48188,27840.28445,807.38884
1670786832.08197,1221.00000,34.94281,28060.02977,803.02727
1670786844.09180,1295.00000,35.98611,30771.27382,855.08756
1670786856.10164,1234.00000,35.12834,29132.34426,829.31182
1670786868.11147,1188.00000,34.46738,27162.52937,788.06491
1670786880.12131,1257.00000,35.45420,29031.61892,818.84861
1670786892.13115,1222.00000,34.95712,28316.01391,810.02144
1670786904.14098,1238.00000,35.18522,29135.04487,828.04773
1670786916.15082,1258.00000,35.46830,29634.57670,835.52300
1670786928.16066,1231.00000,35.08561,28880.20607,823.13537
1670786940.17049,1247.00000,35.31289,29016.00361,821.68313
1670786952.18033,1235.00000,35.14257,28761.21391,818.41529
1670786964.19016,1280.00000,35.77709,29289.54481,818.66767
1670786976.20000,1261.00000,35.51056,29745.43162,837.65027
1670786988.20984,1252.00000,35.38361,29648.37016,837.91248
1670787000.21967,1253.00000,35.39774,29844.33051,843.11401
1670787012.22951,1261.00000,35.51056,30340.27153,854.40134
1670787024.23934,1336.00000,36.55133,33067.86869,904.69664
1670787036.24918,1330.00000,36.46917,33592.84450,921.13007
1670787048.25902,1366.00000,36.95944,33599.18105,909.08259
1670787060.26885,1363.00000,36.91883,34251.96894,927.76421
1670787072.27869,1348.00000,36.71512,32845.11418,894.59369
