unix_time,counts,counts_err,count_rates,count_rates_err
1670785511.00000,1126.00000,33.55592,29384.76501,875.69532
1670785523.00984,1123.00000,33.51119,30082.35291,897.68077
1670785535.01967,1066.00000,32.64966,29513.41857,903.94273
1670785547.02951,1138.00000,33.73426,30457.60633,902.86878
1670785559.03934,1042.00000,32.28002,27731.28352,859.08495
1670785571.04918,1064.00000,32.61901,28327.95751,868.44926
1670785583.05902,897.00000,29.94996,23978.00045,800.60213
1670785595.06885,943.00000,30.70831,24831.73376,808.63251
1670785607.07869,1044.00000,32.31099,28293.97055,875.67640
1670785619.08853,1059.00000,32.54228,28639.85791,880.08147
1670785631.09836,1064.00000,32.61901,27402.87330,840.08898
1670785643.10820,1075.00000,32.78719,28552.85231,870.85383
1670785655.11803,1071.00000,32.72614,28199.44992,861.67978
1670785667.12787,1073.00000,32.75668,28193.76728,860.70287
1670785679.13771,1037.00000,32.20248,26633.06767,827.05009
1670785691.14754,1060.00000,32.55764,27734.23671,851.85031
1670785703.15738,1057.00000,32.51154,27171.82122,835.75937
1670785715.16721,1053.00000,32.44996,26627.06572,820.55770
1670785727.17705,1040.00000,32.24903,26177.24014,811.72176
1670785739.18689,978.00000,31.27299,24710.78641,790.16382
1670785751.19672,1063.00000,32.60368,27028.02383,828.98689
1670785763.20656,1063.00000,32.60368,26976.67137,827.41184
1670785775.21639,1079.00000,32.84814,27588.34712,839.87559
1670785787.22623,1049.00000,32.38827,26909.33108,830.83572
1670785799.23607,1054.00000,32.46537,26563.65920,818.21530
1670785811.24590,1026.00000,32.03123,26350.02636,822.63536
1670785823.25574,1021.00000,31.95309,25756.92647,806.08561
1670785835.26557,1070.00000,32.71085,26789.65138,818.98354
1670785847.27541,1069.00000,32.69557,26974.67603,825.02552
1670785859.28525,1098.00000,33.13608,27081.41663,817.27875
1670785871.29508,1034.00000,32.15587,25831.56675,803.32351
1670785883.30492,1039.00000,32.23352,26424.99556,819.79856
1670785895.31475,1043.00000,32.29551,25958.10577,803.76824
1670785907.32459,1038.00000,32.21801,25575.25386,793.81861
1670785919.33443,1005.00000,31.70173,25503.49790,804.48272
1670785931.34426,1040.00000,32.24903,26077.77268,808.63740
1670785943.35410,985.00000,31.38471,24216.23699,771.59347
1670785955.36393,1064.00000,32.61901,26185.86427,802.77918
1670785967.37377,1027.00000,32.04684,25454.99102,794.30579
1670785979.38361,1042.00000,32.28002,26317.08096,815.27450
1670785991.39344,1026.00000,32.03123,24853.94040,775.92826
1670786003.40328,990.00000,31.46427,23935.05182,760.70588
1670786015.41312,1011.00000,31.79623,24696.21562,776.70273
1670786027.42295,1051.00000,32.41913,25962.69739,800.84497
1670786039.43279,1013.00000,31.82766,24381.21715,766.03861
1670786051.44262,1059.00000,32.54228,25578.91802,786.02107
1670786063.45246,1037.00000,32.20248,26260.34142,815.47564
1670786075.46230,1063.00000,32.60368,25775.98541,790.58514
1670786087.47213,1024.00000,32.00000,25286.57452,790.20545
1670786099.48197,1074.00000,32.77194,26341.30856,803.77632
1670786111.49180,1069.00000,32.69557,26459.32286,809.26335
1670786123.50164,1045.00000,32.32646,25217.37607,780.08468
